Name,Coordinates,Population
Dera Ismail Khan,"31.83129, 70.9017",101616
Bieruń,"50.09, 19.09291",19659
Humacao,"18.14968, -65.82738",20387
Kuroda,"35.35, 136.78333",32586
Higashikurume,"35.75202, 139.51169",117020
Wādī 'Utbah,"26.09502, 13.55744",16746
Santiago Tianguistenco de Galeana,"19.18024, -99.46644",13106
Kaltungo,"9.81998, 11.30871",12357
Casa Santa,"38.02514, 12.5484",23880
Choi Hung Estate,"22.33636, 114.20581",17817
Gyula,"46.65, 21.28333",32269
Teminabuan,"-1.4416, 132.01428",19491
Eilat,"29.55805, 34.94821",52299
Sojītra,"22.53884, 72.71984",19403
Rāni,"25.35031, 73.30885",13572
Dehra Dūn,"30.32443, 78.03392",522081
Chaksu,"26.6051, 75.94814",33098
Tibati,"6.46504, 12.62843",35673
Karamay,"45.58473, 84.88724",261445
Ducheng,"23.24212, 111.5284",95525
Jiangxi,"33.99934, 105.19994",27098
Huangmen,"34.8448, 106.17696",12194
Yara,"20.27465, -76.95132",28944
Cherven Bryag,"43.27884, 24.08251",13000
Nova Olinda do Norte,"-3.89174, -59.09542",12343
Jaguaribe,"-5.89056, -38.62194",23065
Kórinthos,"37.94007, 22.9513",30176
Sykiés,"40.64944, 22.95083",44955
Forrestfield,"-31.98277, 116.00673",13181
Khirdalan,"40.44808, 49.75502",37949
Pirojpur,"22.57965, 89.97521",54418
Tsukuba,"36.2, 140.1",175589
Sinhyeon,"34.8825, 128.62667",82560
Marovoay,"-16.11064, 46.64383",41611
Kavadarci,"41.43306, 22.01194",38799
Geidam,"12.89439, 11.92649",41367
Ualog,"10.57396, 123.3933",60548
Worthington,"40.09312, -83.01796",14498
San Mateo,"10.21302, -67.42365",50401
Sesheke,"-17.47593, 24.29684",20149
Tumsar,"21.38333, 79.73333",43218
Kulattūr,"9.0032, 78.1928",10632
Yamada,"39.46667, 141.95",15195
Ashibetsu,"43.50972, 142.18556",19108
Ngong,"-1.3527, 36.6699",102323
Novogireyevo,"55.75378, 37.81885",95000
L’vovskiy,"55.31872, 37.52337",11202
Degtyarsk,"56.704, 60.0879",15294
Moncalieri,"44.9994, 7.68236",56134
Casalmaggiore,"44.98981, 10.42055",10438
Borgo San Dalmazzo,"44.33785, 7.4931",11128
Campo Verde,"-20.41667, -54.06667",22806
Goshaingaon,"26.43946, 89.96307",13933
Baraut,"29.10199, 77.26334",93544
Chālūs,"36.655, 51.4204",69638
Umm el Faḥm,"32.51725, 35.15349",56109
Nandikotkūr,"15.85668, 78.26569",45343
Kandahār,"31.61332, 65.71013",523300
Dilijan,"40.7417, 44.8501",13478
Trebinje,"42.71197, 18.34362",33178
Shikarpur,"27.95558, 68.63823",156901
San Miguel,"13.48333, -88.18333",247126
Tha Muang,"13.96118, 99.64122",26746
Yingjiang,"24.71022, 97.93671",80481
Binhe,"32.68833, 112.8275",278055
Lanyang,"19.46141, 109.6604",23711
Siping,"43.16143, 124.37785",555609
Yulong,"29.54615, 105.81044",16072
Tarqui,"2.11248, -75.82419",16108
Garden City,"43.62211, -116.23817",11550
Pearl City,"21.39734, -157.97516",47698
Wudil,"11.80937, 8.84422",23066
Umuahia,"5.52491, 7.49461",370000
Yunguyo,"-16.25, -69.08333",16140
Ma'an,"30.19624, 35.73405",50350
Champotón,"19.34745, -90.72039",30881
Tigre,"-34.42603, -58.57962",31106
Arroyito,"-31.42022, -63.05002",19577
Luénoufla,"7.07236, -6.24125",25463
Brčko,"44.86995, 18.81012",38968
Netrakona,"24.88352, 90.72898",79016
Ieper,"50.85114, 2.88569",35089
Les Cayes,"18.19199, -73.74948",125799
Makó,"46.21667, 20.48333",25135
Cianjur,"-6.82222, 107.13944",174587
Wexford,"52.33417, -6.4575",19913
Ārangaon,"19.02681, 74.71487",29591
Yartsevo,"55.06491, 32.69693",52706
Novopavlovsk,"43.95942, 43.63156",24408
Dvubratskiy,"45.23888, 39.80499",10272
Gramoteino,"54.5368, 86.3839",14010
Youting,"29.43128, 105.73757",44363
Malianzhuang,"37.07484, 120.46251",42197
Tanga,"-5.06893, 39.09875",393429
Siloam Springs,"36.18814, -94.5405",16081
Lake Butler,"28.50167, -81.54091",15400
Tifton,"31.45046, -83.5085",16725
Olathe,"38.8814, -94.81913",134305
Shuangfeng,"30.02333, 106.42963",33282
Longuenesse,"50.73395, 2.2352",13838
la Maternitat i Sant Ramon,"41.38125, 2.11744",24058
São João da Madeira,"40.9007, -8.4902",22079
Luuq,"3.80315, 42.54417",33820
Ubon Ratchathani,"15.23844, 104.84866",122533
Antalya,"36.90812, 30.69556",1344000
Usevia,"-7.1, 31.23333",17742
Obukhovo,"59.84389, 30.45111",45664
Fetești-Gară,"44.4196, 27.82536",23789
Aberdeen,"45.4647, -98.48648",28102
Fair Oaks,"38.64463, -121.27217",30912
Englewood,"39.64777, -104.98776",33082
Littleton,"39.61332, -105.01665",46368
Villiers,"-27.03026, 28.60061",11240
Laascaanood,"8.47738, 47.35971",60100
Ainaro,"-8.99241, 125.50816",12000
Perry Hall,"39.41261, -76.46357",28474
Carney,"39.39427, -76.52358",29941
Pecan Grove,"29.62607, -95.73162",15963
Burr Ridge,"41.74892, -87.91839",10818
Dilling,"12.05, 29.65",37113
Aplahoué,"6.93333, 1.68333",26340
Yeliguan,"34.9644, 103.66049",10066
Colinas,"-6.02583, -44.24917",25158
Tocaima,"4.4582, -74.63434",13649
Passau,"48.5665, 13.43122",50560
Bad Oeynhausen,"52.20699, 8.80365",49513
Marchena,"37.329, -5.41681",19768
Cartaya,"37.28114, -7.15071",17905
Udaipura,"23.07434, 78.51108",15473
Kohīma,"25.67467, 94.11099",92113
Shenfield,"51.63171, 0.33199",10511
Rossendale,"53.68456, -2.2769",67400
Orestiáda,"41.50306, 26.52972",16221
Mūl,"20.06987, 79.67826",23984
Karol Bāgh,"28.65136, 77.19072",505241
Cambria Heights,"40.69455, -73.73847",20287
Rukungiri,"-0.84111, 29.94194",14000
Jinja,"0.43902, 33.20317",93061
Coral Gables,"25.72149, -80.26838",51117
Cournon-d'Auvergne,"45.74123, 3.19643",18848
Contai,"21.77985, 87.74892",88702
Rūdsar,"37.13696, 50.29174",47502
Baléyara,"13.7838, 2.9523",21740
Wageningen,"51.97, 5.66667",35433
Dharān,"26.81436, 87.27972",173096
Dunedin,"-45.87416, 170.50361",133300
Karagandy,"49.80187, 73.10211",497777
Murzuk,"25.91552, 13.91839",30491
San Giovanni Rotondo,"41.70643, 15.7277",27124
Pavia,"45.19205, 9.15917",65734
Wa,"10.06069, -2.50192",78107
Coyah,"9.70643, -13.38465",77103
Le Camas,"43.29469, 5.39415",16585
Cartagena,"-33.55384, -71.60761",16875
Shizilu,"35.17111, 118.82889",86749
